place_id,place_name,transit,participation,nature_food,companion,barrier_free,liveliness,depth,indoor,budget,duration
POHANG_001,호미곶 해맞이광장,2.5,3.0,1.5,6.5,8.5,6.5,4.0,0.5,1.0,4.0
POHANG_002,죽도시장,9.0,5.5,9.8,6.5,5.0,9.8,2.5,5.0,7.0,5.0
POHANG_003,구룡포근대역사문화거리,3.5,3.5,5.5,4.5,4.5,6.0,9.5,2.5,2.5,5.5
POHANG_004,장길리 복합낚시공원,2.0,9.0,3.0,6.0,7.0,3.0,2.5,0.5,5.0,7.0
POHANG_005,내연산 12폭포,2.0,7.5,0.5,4.0,1.0,2.5,2.5,0.0,1.5,9.0
POHANG_006,영일대해수욕장,9.0,5.5,2.0,7.0,7.0,8.5,1.5,0.5,1.0,5.0
POHANG_007,스페이스워크,7.0,8.0,2.5,4.5,2.0,8.5,1.5,0.5,0.5,3.5
POHANG_008,포항운하,9.5,4.5,4.0,6.5,8.5,5.5,3.5,3.0,5.0,5.0
POHANG_009,아라예술촌,3.5,4.0,5.0,3.5,7.0,2.5,6.5,8.5,2.0,3.5
POHANG_010,칠포해수욕장,4.5,8.0,1.5,5.0,3.5,6.5,1.0,0.0,4.5,7.0
POHANG_011,국립등대박물관,2.5,1.5,5.0,7.5,8.5,2.5,8.5,9.0,0.5,4.0
POHANG_012,운제산 오어사,2.5,2.5,1.5,3.0,4.5,1.0,8.0,1.5,0.5,5.5
POHANG_013,포스코역사관,6.5,1.0,5.0,4.0,9.0,2.0,9.5,9.5,0.5,3.5
POHANG_014,구룡포해수욕장,3.0,6.0,2.5,7.5,4.5,2.5,3.0,0.0,1.0,6.0
POHANG_015,장기유배문화체험촌,1.5,7.5,5.0,6.5,6.0,2.0,9.8,3.5,2.0,5.5
POHANG_016,호미반도해안둘레길,2.0,7.0,0.5,4.0,3.0,3.0,2.0,0.0,0.5,8.0
POHANG_017,포항 냉수리 신라비,1.5,1.0,5.0,2.0,7.5,0.5,10.0,2.0,0.0,1.0
POHANG_018,연오랑세오녀테마공원,2.5,3.5,2.0,6.0,6.0,3.5,7.5,3.0,1.5,5.0
POHANG_019,이가리 닻전망대,2.0,3.0,1.0,4.0,6.5,4.5,1.0,0.0,0.0,2.0
POHANG_020,포항함 체험관,8.0,6.5,5.0,8.5,2.5,4.5,7.5,7.5,2.0,3.5
