place_id,place_name,category,preference_tags,avoid_tags,summary,embedding_text,evidence_text_1,evidence_text_2,evidence_text_3,evidence_text_4,evidence_text_5
POHANG_001,호미곶 해맞이광장,,,,한반도 최동단에 자리한 일출 명소이자 대형 조형물 '상생의 손'이 있는 광장입니다.,호미곶해맞이광장 포항 일출 상생의손,"한반도 호랑이 꼬리 부분에 해당하는 최동단 지역으로, 조각가 김승국이 제작한 청동 조형물 '상생의 손'이 육지와 바다에 마주 서 있습니다.",너른 광장 너머 수평선에서 떠오르는 해와 바다 위 조형물이 어우러져 웅장하고 벅찬 감동을 선사합니다.,"일출 감상, 해안 산책, 국립등대박물관 연계 답사에 좋습니다.",바다 위 '상생의 손'과 광장의 대형 조형물이 대표 볼거리입니다.,"매년 1월 1일 해맞이 축전이 열리며, 일출 사진을 원하는 여행객에게 특히 맞습니다."
POHANG_002,죽도시장,,,,동해안 최대 규모로 꼽히는 전통 재래시장입니다.,죽도시장 포항 전통시장 대게 해산물,"포항을 대표하는 동해안 최대급 재래시장으로, 대게·과메기 등 신선한 수산물과 다양한 먹거리가 모여 있습니다.",활기찬 상인들의 목소리와 갓 잡은 해산물 내음이 뒤섞인 시장 특유의 생동감을 느낄 수 있습니다.,"해산물 미식, 시장 구경, 대게·과메기 구입에 좋습니다.",대게 골목과 다양한 수산물 좌판이 대표 볼거리입니다.,미식 여행을 원하는 여행객에게 특히 맞습니다.
POHANG_003,구룡포근대역사문화거리,,,,일제강점기 일본인 어부들이 거주하던 가옥거리가 보존된 근대 역사거리입니다.,구룡포근대역사문화거리 포항 일본인가옥거리,"일제강점기 수산업을 위해 이주한 일본인들의 거주지로, 격자형 2층 목조 가옥 50여 채가 남아 있는 근대역사거리입니다.",옛 일본식 가옥이 늘어선 골목을 거닐면 시대를 넘나드는 묘한 정취를 느끼게 됩니다.,"골목 산책, 근대역사관 관람, 구룡포시장 연계 답사에 좋습니다.",보존된 일본식 목조 가옥과 골목길이 대표 볼거리입니다.,근현대사에 관심 있는 여행객에게 특히 맞습니다.
POHANG_004,장길리 복합낚시공원,,,,"구룡포 인근 어촌에 조성된 낚시 체험 공간으로, 보릿돌 설화로도 알려진 곳입니다.",장길리복합낚시공원 포항 낚시체험 어촌,"미역이 풍부해 보릿고개를 넘길 수 있었다는 설화가 전하는 보릿돌 주변에 조성된 낚시 공원으로, 다양한 어류가 잡히는 낚시 명소로 알려져 있습니다.",바다를 향해 뻗은 낚시 데크와 파도 소리가 여유롭고 정겨운 어촌의 정취를 선사합니다.,"낚시 체험, 해안 산책, 인근 횟집 미식에 좋습니다.",바다로 이어진 낚시 데크와 보릿돌이 대표 볼거리입니다.,낚시와 어촌 정취를 즐기려는 여행객에게 특히 맞습니다.
POHANG_005,내연산 12폭포,,,,12개의 폭포가 이어지는 내연산 계곡의 대표 트레킹 코스입니다.,내연산12폭포 포항 계곡 트레킹 절경,"내연산 계곡을 따라 관음폭포·연산폭포 등 12개의 폭포가 이어지는 명승지로, 경상북도의 대표 계곡 트레킹 코스입니다.",이어지는 폭포마다 다른 물소리와 기암이 어우러져 깊은 산중의 청량한 정취를 선사합니다.,"계곡 트레킹, 폭포 조망, 여름철 물놀이 감상에 좋습니다.",연산폭포와 관음폭포 등 대표 폭포들이 대표 볼거리입니다.,트레킹을 좋아하는 여행객에게 특히 맞습니다.
POHANG_006,영일대해수욕장,,,,"도심과 인접한 해변으로, 바다 위 누각과 야경으로 유명합니다.",영일대해수욕장 포항 야경 해상누각,"포항 시내와 가까운 해수욕장으로, 바다 위에 세워진 영일대 누각과 스카이워크로 알려져 있습니다.",밤이 되면 조명이 켜진 영일대와 백사장이 어우러져 낭만적인 해변 야경을 선사합니다.,"해수욕, 야경 감상, 스카이워크 산책에 좋습니다.",바다 위 영일대 누각과 스카이워크가 대표 볼거리입니다.,야경과 해변 산책을 좋아하는 여행객에게 특히 맞습니다.
POHANG_007,스페이스워크,,,,"환호공원에 설치된 대형 철제 구조물로, 걸어서 오르내리며 포항 앞바다를 조망할 수 있습니다.",스페이스워크 포항 환호공원 전망 구조물,"환호공원에 조성된 대형 철제 트랙형 구조물로, 롤러코스터 모양의 트랙을 걸어 오르며 동해 전망을 즐길 수 있습니다.",구불구불한 철제 트랙 위에서 내려다보는 바다 전망이 짜릿한 스릴과 탁 트인 개방감을 함께 선사합니다.,"구조물 탐방, 전망 감상, 야간 조명 관람에 좋습니다.",나선형으로 이어진 대형 철제 트랙이 대표 볼거리입니다.,이색 체험과 야경을 좋아하는 여행객에게 특히 맞습니다.
POHANG_008,포항운하,,,,"옛 물길을 복원해 조성한 도심 운하로, 운하 크루즈를 즐길 수 있습니다.",포항운하 크루즈 야경 산책,"포항 도심을 가로지르는 운하로, 운하 크루즈와 산책로가 조성되어 있으며 포항운하관에서 역사를 소개합니다.",물길을 따라 조성된 산책로와 야간 조명이 어우러져 도심 속 낭만적인 정취를 자아냅니다.,"운하 크루즈 탑승, 산책로 걷기, 야경 감상에 좋습니다.",운하 크루즈와 포항운하관 전시가 대표 볼거리입니다.,도심 속 여유로운 산책을 원하는 여행객에게 특히 맞습니다.
POHANG_009,아라예술촌,,,,폐교를 리모델링해 조성한 예술 전시 공간입니다.,아라예술촌 포항 폐교 예술전시,"옛 학교 건물을 개조해 조성한 복합문화예술공간으로, 전시와 공연이 열립니다.",옛 교실의 정취와 현대 예술 작품이 어우러져 독특하고 정감 있는 분위기를 자아냅니다.,"전시 관람, 사진 촬영, 문화 행사 참여에 좋습니다.",옛 교실 구조를 살린 전시 공간이 대표 볼거리입니다.,이색적인 예술 공간을 좋아하는 여행객에게 특히 맞습니다.
POHANG_010,칠포해수욕장,,,,서핑 명소로도 알려진 포항의 대표 해수욕장 중 하나입니다.,칠포해수욕장 포항 서핑 백사장,넓은 백사장과 적당한 파도를 갖춰 서핑 명소로도 알려진 해수욕장입니다.,파도를 타는 서퍼들과 여유로운 백사장 풍경이 활기차면서도 편안한 여름의 정취를 자아냅니다.,"해수욕, 서핑 체험, 백사장 산책에 좋습니다.",너른 백사장과 서핑 스팟이 대표 볼거리입니다.,액티비티를 즐기는 여행객에게 특히 맞습니다.
